
ádfasdf	ádfasdfasdf
cool	/ku:l/ mát mẻ, điềm tĩnh; làm mát,
cope	/koup/ đối phó, đương đầu
copy	/'kɔpi/ bản sao, bản chép lại; sự sao chép; sao chép, bắt chước
core	nòng cốt, hạt nhân; đáy lòng
corner	góc (tường, nhà, phố...)
correct	/kə´rekt/ đúng, chính xác; sửa, sửa chữa
correctly	đúng, chính xác
cost	/kɔst , kɒst/ giá, chi phí; trả giá, phải trả
cottage	 nhà tranh
cotton	bông, chỉ, sợi
cough	/kɔf/ ho, sự ho, tiếng hoa
coughing	ho
could	/kud/ có thể
could	thể, có khả năng
council	hội đồng
count	đếm, tính
counter	quầy hàng, quầy thu tiền, máy đếm
country	nước, quốc gia, đất nước
countryside	quê, miền nông thôn
county	hạt, tỉnh
couple	đôi, cặp; đôi vợ chồng, cặp nam nữ
courage	 sự can đảm, sự dũng cảm, dũng khí
course	tiến trình, quá trình diễn tiến; sân chạy đua
court	, koʊrt/ sân, sân (tennis...), tòa án, quan tòa, phiên tòa
cousin	anh em họ
cover	/'kʌvə/ bao bọc, che phủ; vỏ, vỏ bọc
covered	có mái che, kín đáo
covering	sự bao bọc, sự che phủ, cái bao, bọc
cow	con bò cái
crack	/kræk/ cừ, xuất sắc; làm nứt, làm vỡ, nứt nẻ, rạn nứt
cracked	rạn, nứt
craft	nghề, nghề thủ công
crash	/kræʃ/ vải thô; sự rơi (máy bay), sự phá sản, sụp đổ; phá tan tành, phá vụn
crazy	điên, mất trí
cream	kem
create	sáng tạo, tạo nên
creature	sinh vật, loài vật
credit	 sự tin, lòng tin, danh tiếng; tiền gửi ngân hàng
credit	thẻ tín dụng
crime	tội, tội ác, tội phạm
criminal	/ˈkrɪmənl/ có tội, phạm tội; kẻ phạm tội, tội phạm
crisis	 sự khủng hoảng, cơn khủng hoảng
crisp	giòn
criterion	 tiêu chuẩn
critical	phê bình, phê phán; khó tính
criticism	sự phê bình, sự phê phán, lời phê bình, lời phê phán
criticize	-ise) v. /ˈkrɪtəˌsaɪz/  phê bình, phê phán, chỉ trích
crop	vụ mùa
cross	/krɔs/ cây Thánh Giá, nỗi thống khổ; sự băng qua; băng qua, vượt qua
crowd	đám đông
crowded	đông đúc
crown	 vương miện, vua, ngai vàng; đỉnh cao nhất
crucial	quyết định, cốt yếu, chủ yếu
cruel	độc ác, dữ tợn, tàn nhẫn
crush	ép, vắt, đè nát, đè bẹp
cry	/krai/ khóc, kêu la; sự khóc, tiếng khóc, sự kêu la
cultural	(thuộc) văn hóa
culture	 văn hóa, sự mở mang, sự giáo dục
cup	tách, chén
cupboard	1 loại tủ có ngăn
curb	kiềm chế, nén lại, hạn chế
cure	/kjuə/ chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc
curious	ham muốn, tò mò, lạ lùng
curiously	tò mò, hiếu kỳ,  lạ kỳ
curl	/kə:l/ quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn
curly	quăn, xoắn
current	/'kʌrənt/ hiện hành, phổ biến, hiện nay; dòng (nước), luống (gió)
currently	hiện thời, hiện nay
curtain	màn (cửa, rạp hát, khói, sương)
curve	/kə:v/ đường cong, đường vòng; cong, uốn cong, bẻ cong
curved	cong
custom	phong tục, tục lệ, thói quen, tập quán
customer	khách hàng
customs	thuế nhập khẩu, hải quan
cut	/kʌt/  cắt, chặt; sự cắt
cycle	/'saikl/  chu kỳ, chu trình, vòng; quay vòng theo chu kỳ, đi xe đạp
cycling	sự đi xe đạp
dad	bố, cha
daily	hàng ngày
damage	/'dæmidʤ/  mối hạn, điều hại, sự thiệt hại; làm hư hại, làm hỏng, gây thiệt hại
damp	ẩm, ẩm ướt, ẩm thấp
dance	/dɑ:ns/ sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ
dancer	diễn viên múa, người nhảy múa
dancing	sự nhảy múa, sự khiêu vũ
danger	sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa
dangerous	nguy hiểm
dare	dám, dám đương đầu với; thách
dark	/dɑ:k/  tối, tối tăm; bóng tối, ám muội
data	số liệu, dữ liệu
date	/deit/ ngày, kỳ, kỳ hạn, thời kỳ, thời đại; đề ngày tháng, ghi niên hiệu
daughter	 con gái
day	ngày, ban ngày
dead	chết, tắt
deaf	điếc, làm thinh, làm ngơ
deal	/di:l/ phân phát, phân phối; sự giao dịch, thỏa thuận mua bán
deal	quyết
dear	thân, thân yêu, thân mến; kính thưa, thưa
death	sự chết, cái chết
debate	/dɪˈbeɪt/ cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi
debt	 nợ
decade	thập kỷ, bộ mười, nhóm mười
decay	/di'kei/ tình trạng suy tàn, suy sụp, tình trạng đổ nát
december	Dec.) /di'sembə/ tháng mười hai, tháng Chạp
decide	quyết định, giải quyết, phân xử
decision	sự quyết định, sự giải quyết, sự phân xử
declare	tuyên bố, công bố
decline	/di'klain/ sự suy tàn, sự suy sụp; suy sụp, suy tàn
decorate	trang hoàng, trang trí
decoration	sự trang hoàng, đồ trang hoàng, trang trí
decorative	để trang hoàng, để trang trí, để làm cảnh
decrease	/ 'di:kri:s/ giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
deep	/di:p/  sâu, khó lường, bí ẩn
deeply	sâu, sâu xa, sâu sắc
defeat	/di'fi:t/ đánh thắng, đánh bại; sự thất bại (1 kế hoạch), sự tiêu tan (hy vọng..)
defence	defense) n. /di'fens/ cái để bảo vệ, vật để chống đỡ, sự che chở
defend	 che chở, bảo vệ, bào chữa
define	định nghĩa
definite	 xác định, định rõ, rõ ràng
definitely	rạch ròi, dứt khoát
definition	sự định nghĩa, lời định nghĩa
degree	mức độ, trình độ; bằng cấp; độ
delay	/dɪˈleɪ/ sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
deliberate	thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
deliberately	thận trọng, có suy nghĩ cân nhắc
delicate	thanh nhã, thanh tú, tế nhị, khó xử
delight	/di'lait/ sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say mê
delighted	 vui mừng, hài lòng
deliver	 cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery	sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu
demand	/dɪ.ˈmænd/ sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
demonstrate	 chứng minh, giải thích; bày tỏ, biểu lộ
dentist	nha sĩ
deny	từ chối, phản đối, phủ nhận
department	cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
departure	sự rời khỏi, sự đi, sự khởi hành
depend	/di'pend/ phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào
deposit	/dɪˈpɒzɪt/  vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
depress	làm chán nản, làm phiền muộn; làm suy giảm
depressed	chán nản, thất vọng, phiền muộn; suy yếu, đình trệ
depressing	làm chán nản làm thát vọng, làm trì trệ
depth	chiều sâu, độ dày
derive	nhận được từ, lấy được từ; xuất phát từ, bắt nguồn, chuyển hóa từ (from)
describe	diễn tả, miêu tả, mô tả
description	sự mô tả, sự tả, sự miêu tả
desert	/ˈdɛzərt/ sa mạc; công lao, giá trị; rời bỏ, bỏ trốn
deserted	hoang vắng, không người ở
deserve	đáng, xứng đáng
design	/di´zain/ sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế
desire	/di'zaiə/ ước muốn; thèm muốn, ao ước
desk	bàn (học sinh, viết, làm việc)
desperate	liều mạng, liều lĩnh; tuyệt vọng
desperately	liều lĩnh, liều mạng
despite	dù, mặc dù, bất chấp
destroy	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction	sự phá hoại, sự phá hủy, sự tiêu diệt
detail	dɪˈteɪl , ˈditeɪl ; v. dɪˈteɪl/ chi tiết
detailed	cặn kẽ, tỉ mỉ, nhiều chi tiết
determination	sự xác định, sự định rõ; sự quyết định
determine	xác định, định rõ; quyết định
determined	đã được xác định, đã được xác định rõ
develop	phát triển,  mở rộng; trình bày, bày tỏ
development	 sự phát triển, sự trình bày, sự bày tỏ
device	kế sách; thiết bị, dụng cụ, máy móc
devote	hiến dâng, dành hết cho
devoted	hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình
diagram	 biểu đồ
diamond	kim cương
diary	sổ nhật ký; lịch ghi nhớ
dictionary	 từ điển
die	 chết, từ trần, hy sinh
diet	chế độ ăn uống, chế độ ăn kiêng
difference	, ˈdɪfrəns/ sự khác nhau
different	khác, khác biệt, khác nhau
differently	khác, khác biệt, khác nhau
difficult	khó, khó khăn, gay go
difficulty	sự khó khăn, nỗi khó khăn, điều cản trở
dig	đào bới, xới
dinner	bữa trưa, chiều
direct	/di'rekt; dai'rekt/  trực tiếp, thẳng, thẳng thắn;  gửi, viết cho ai, điều khiển
direction	 sự điều khiển, sự chỉ huy
directly	trực tiếp, thẳng
director	giám đốc, người điều khiển, chỉ huy
dirt	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
dirty	bẩn thỉu, dơ bẩn
disabled	bất lực, không có khă năng
disadvantage	, ˌdɪsədˈvɑntɪdʒ/sự bất lợi, sự thiệt hại
disagree	bất đồng, không đồng ý, khác, không giống; không hợp
disagreement	sự bất đồng, sự không đồng ý, sự khác nhau
disappear	biến mất, biến đi
disappoint	không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại
disappointed	thất vọng
disappointing	làm chán ngán, làm thất vọng
disappointment	sự chán ngán, sự thất vọng
disapproval	sự phản đổi, sự không tán thành
disapprove	/¸disə´pru:v/ không tán thành, phản đối, chê
disapproving	phản đối
disaster	tai họa, thảm họa
disc	especially in NAmE) n. /disk/ đĩa
discipline	kỷ luật
discount	sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu
discover	 khám phá, phát hiện ra, nhận ra
discovery	 sự khám phá, sự tìm ra, sự phát hiện ra
discuss	thảo luận, tranh luận
discussion	sự thảo luận, sự tranh luận
disease	căn bệnh, bệnh tật
disgust	/dis´gʌst/ làm ghê tởm, làm kinh tởm, làm phẫn nộ
disgusted	chán ghét, phẫn nộ
disgusting	làm ghê tởm, kinh tởm
dish	 đĩa (đựng thức ăn)
dishonest	bất lương, không thành thật
dishonestly	bất lương, không lương thiện
disk	đĩa, đĩa hát
dislike	/dis'laik/ sự không ưa, không thích, sự ghét
dismiss	giải tán (quân đội, đám đông); sa thải (người làm)
display	/dis'plei/ bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày
dissolve	tan rã, phân hủy, giải tán
distance	khoảng cách, tầm xa
distinguish	phân biệt, nhận ra, nghe ra
distribute	phân bổ, phân phối, sắp xếp, phân loại
distribution	sự phân bổ, sự phân phối, phân phát, sự sắp xếp
district	huyện, quận
disturb	làm mất yên tĩnh, làm náo động, quấy rầy
disturbing	xáo trộn
divide	chia, chia ra, phân ra
division	sự chia, sự phân chia, sự phân loại
divorce	/di´vɔ:s/ sự ly dị
divorced	đã ly dị
do	v. /du:, du/  làm
doctor	Dr, NAmE Dr.) /'dɔktə/ bác sĩ y khoa, tiến sĩ
document	văn kiện, tài liệu, tư liệu
dog	 chó
dollar	đô la Mỹ
domestic	 vật nuôi trong nhà, (thuộc) nội trợ, quốc nội
dominate	chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
door	 cửa, cửa ra vào
dot	chấm nhỏ, điểm; của hồi môn
double	adv., n., v. /'dʌbl/ đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
doubt	/daut/ sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down	/daun/ xuống
downstairs	n. /'daun'steзz/ ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
downward	xuống, đi xuống
downwards	especially in NAmE) adv. /´daun¸wədz/ xuống, đi xuống
dozen	/dʌzn/ tá (12)
draft	v. /dra:ft/ bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
drag	lôi kéo, kéo lê
drama	kịch, tuồng
dramatic	như kịch, như đóng kịch, thích hợp với sân khấu
dramatically	đột ngột
draw	vẽ, kéo
drawer	người vẽ, người kéo
drawing	bản vẽ, bức vẽ, sự kéo
dream	/dri:m/  giấc mơ, mơ
dress	/dres/ quần áo, mặc (quần áo), ăn mặc
dressed	ăn mặc
drink	/driɳk/  đồ uống; uống
drive	/draiv/ lái , đua xe;  cuộc đua xe (điều khiển)
driver	người lái xe
driving	sự lái xe, cuộc đua xe
drop	/drɒp/ chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)
drug	thuốc, dược phẩm; ma túy
drugstore	/'drʌgstɔ:/ hiệu thuốc, cửa hàng dược phẩm
drum	cái trống, tiếng trống
drunk	say rượu
dry	/drai/  khô, cạn; làm khô, sấy khô
due	dyu/ đến kỳ hạn (trả nợ); xứng đáng, thích đáng
due	vì, do, tại, nhờ có
dull	chậm hiểu, ngu đần
dump	/dʌmp/ đổ rác; đống rác, nơi đổ rác
during	trong lúc, trong thời gian
dust	/dʌst/ bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi
duty	 sự tôn kính, kính trọng; bồn phận, trách nhiệm
dying	sự chết
e.g.	tắt của cụm từ La tinh exempli gratia (for example)
each	/i:tʃ/ mỗi
each	one another) pron. nhau, lẫn nhau
each	lẫn nhau
ear	tai
early	/´ə:li/ sớm
earn	 kiếm (tiền), giành (phần thưởng)
earth	đất, trái đất
ease	/i:z/ sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
easily	dễ dàng
east	adv. /i:st/ hướng đông, phía đông, (thuộc) đông, ở phía đông
eastern	đông
easy	dễ dàng, dễ tính, ung dung
eat	ăn
economic	(thuộc) Kinh tế
economy	sự tiết kiệm, sự quản lý kinh tế
edge	lưỡi, cạnh sắc
edition	nhà xuất bản, sự xuất bản
editor	người thu thập và xuất bản, chủ bút
educate	 giáo dục, cho ăn học; rèn luyện
educated	 được giáo dục, được đào tạo
education	sự giáo dục, sự rèn luyện (kỹ năng)
effect	 hiệu ứng, hiệu quả, kết quả
effective	 có kết quả, có hiệu lực
effectively	có kết quả, có hiệu lực
efficient	có hiệu lực, có hiệu quả
efficiently	có hiệu quả, hiệu nghiệm
effort	sự cố gắng, sự nỗ lực
egg	trứng
either	adv. /´aiðə/ mỗi, một; cũng phải thế
elbow	khuỷu tay
elderly	có tuổi, cao tuổi
elect	bầu, quyết định
election	sự bầu cử, cuộc tuyển cử
electric	(thuộc) điện, có điện, phát điện
electrical	(thuộc) điện
electricity	điện, điện lực; điện lực học
electronic	, ˌilɛkˈtrɒnɪk/  (thuộc) điện tử
elegant	thanh lịch, tao nhã
element	 yếu tôd, nguyên tố
elevator	/ˈɛləˌveɪtər/  máy nâng, thang máy
else	khác, nữa; nếu không
elsewhere	ở một nơi nào khác
email	n., v. /'imeil/  thư điện tử; gửi thư điện tử
embarrass	lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
embarrassed	lúng túng, bối rối, ngượng; mang nợ
embarrassing	làm lúng túng, ngăn trở
embarrassment	sự lúng túng, sự bối rối
emerge	nổi lên, hiện ra; nổi bật lên
emergency	tình trạng khẩn cấp
emotion	xự xúc động, sự cảm động, mối xác cảm
emotional	cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
emotionally	xúc động
emphasis	sự nhấn mạnh, tầm quan trọng
emphasize	-ise) v. /ˈɛmfəˌsaɪz/  nhấn mạnh, làm nổi bật
empire	đế chế, đế quốc
employ	 dùng, thuê ai làm gì
employee	người lao động, người làm công
employer	chủ, người sử dụng lao động
employment	sự thuê mướn
empty	/'empti/ trống, rỗng; đổ, dốc; uống, làm cạn
enable	làm cho có thể, có khả năng; cho phép ai làm gì
encounter	/in'kautә/ chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
encourage	động viên, ủng hộ, giúp đỡ, làm can đảm, mạnh dạn
encouragement	niềm cổ vũ, động viên,  khuyến khích, sự làm can đảm
end	/end/ giới hạn, sự kết thúc; kết thúc, chấm dứt
ending	sự kết thúc, sự chấm dứt; phần cuối, kết cục
enemy	kẻ thù, quân địch
energy	 năng lượng, nghị lực, sinh lực
engage	hứa hẹn, cam kết, đính ước
engaged	đã đính ước, đã hứa hôn; đã có người
engine	máy, động cơ
engineer	 kỹ sư
engineering	 nghề kỹ sư, công việc của kỹ sư
enjoy	thưởng thức, thích thú cái gì, được hưởng, có được
enjoyable	thú vị, thích thú
enjoyment	sự thích thú, sự có được, được hưởng
enormous	to lớn, khổng lồ
enough	adv. /i'nʌf/ đủ
enquiry	especially in NAmE) n. /in'kwaiәri/ sự điều tra, sự thẩm vấn
ensure	, ɛnˈʃɜr/ bảo đảm, chắc chắn
enter	đi vào, gia nhập
entertain	 giải trí, tiếp đón, chiêu đãi
entertainer	người quản trò, người tiếp đãi, chiêu đãi
entertaining	giải trí
entertainment	sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm	sự hăng hái, sự nhiệt tình
enthusiastic	hăng hái, say mê, nhiệt tình
entire	toàn thể, toàn bộ
entirely	toàn vẹn, trọn vẹn, toàn bộ
entitle	cho tiêu đề, cho tên (sách); cho quyền làm gì
entrance	sự đi vào, sự nhậm chức
entry	 sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)
envelope	phong bì
environment	môi trường, hoàn cảnh xung quanh
environmental	thuộc về môi trường
equal	v. /´i:kwəl/ ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang
equally	/ bằng nhau, ngang bằng
equipment	trang, thiết bị
equivalent	/i´kwivələnt/ tương đương; từ, vật tương đương
error	 lỗi, sự sai sót, sai lầm
escape	/is'keip/ trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
especially	đặc biệt là, nhất là
essay	bài tiểu luận
essential	/əˈsɛnʃəl/ bản chất, thực chất, cốt yếu; yếu tố cần thiết
essentially	về bản chất, về cơ bản
establish	lập, thành lập
estate	tài sản, di sản, bất động sản
estimate	/'estimit - 'estimeit/  sự ước lượng, đánh giá; ước lượng, đánh giá
etc.	et cetera) /et setərə/ vân vân
euro	đơn vị tiền tệ của liên minh châu Âu
even	/'i:vn/ ngay cả, ngay, lại còn; bằng phẳng, điềm đạm, ngang bằng
evening	buổi chiều, tối
event	sự việc, sự kiện
eventually	cuối cùng
ever	từng, từ trước tới giờ
every	mỗi, mọi
everyone	pron. /´evri¸wʌn/ mọi người
everything	mọi vật, mọi thứ
everywhere	mọi nơi
evidence	điều hiển nhiên, điều rõ ràng
evil	/'i:vl/ xấu, ác; điều xấu, điều ác, điều tai hại
ex-	tố chỉ bên ngoài
exact	chính xác, đúng
exactly	chính xác, đúng đắn
exaggerate	cường điệu, phóng đại
exaggerated	cường điệu, phòng đại
exam	viết tắt của Examination (xem nghĩa phía dưới)
examination	sự thi cử, kỳ thi
examine	thẩm tra, khám xét, hỏi han (thí sinh)
example	thí dụ, ví dụ
excellent	 xuất sắc, xuất chúng
except	/ik'sept/ trừ ra, không kể; trừ phi
exception	 sự trừ ra, sự loại ra
exchange	/iks´tʃeindʒ/ trao đổi; sự trao đổi
excite	kích thích, kích động
excited	 bị kích thích, bị kích động
excitement	sự kích thích, sự kích động
exciting	hứng thú, thú vị
exclude	ngăn chạn, loại trừ
excluding	ngoài ra, trừ ra
excuse	/iks´kju:z/  lời xin lỗi, bào chữa; xin lỗi, tha thứ, tha lỗi
executive	/ɪgˈzɛkyətɪv/  sự thi hành, chấp hành; (thuộc) sự thi hành, chấp hành
exercise	/'eksəsaiz/  bài tập, sự thi hành, sự thực hiện; làm, thi hành, thực hiện
exhibit	/ɪgˈzɪbɪt/ trưng bày, triển lãm; vật trưng bày, vật triển lãm
exhibition	cuộc triển lãm, trưng bày
exist	 tồn tại, sống
existence	sự tồn tại, sự sống
exit	lỗi ra, sự đi ra, thoát ra
expand	mở rộng, phát triển, nở, giãn ra
expect	 chờ đợi, mong ngóng; liệu trước
expectation	sự mong chờ, sự chờ đợi
expected	được chờ đợi, được hy vọng
expense	 chi phí
expensive	 đắt
experience	/iks'piəriəns/  kinh nghiệm; trải qua, nếm mùi
experienced	có kinh nghiệm, từng trải, giàu kinh nghiệm
experiment	/n. ɪkˈspɛrəmənt ; v. ɛkˈspɛrəˌmɛnt/  cuộc thí nghiệm; thí nghiệm
expert	/,ekspз'ti:z/ chuyên gia; chuyên môn, thành thạo
explain	giải nghĩa, giải thích
explanation	 sự giải nghĩa, giải thích
explode	đập tan (hy vọng...), làm nổ, nổ
explore	thăm dò, thám hiểm
explosion	 sự nổ, sự phát triển ồ ạt
export	/iks´pɔ:t/ xuất khẩu; hàng xuất khẩu, sự xuất khẩu
expose	 trưng bày, phơi bày
express	/iks'pres/ diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
expression	sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
extend	giơ, duỗi ra (tay, chân..); kéo dài (thời gian..), dành cho, gửi lời
extension	sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
extensive	rộng rãi, bao quát
extent	/ɪkˈstɛnt/ quy mô, phạm vi
extra	adv. /'ekstrə/  thêm, phụ, ngoại; thứ thêm, phụ
extraordinary	đặc biệt, lạ thường, khác thường
extreme	/iks'tri:m/  vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích
extremely	vô cùng, cực độ
eye	 mắt
face	/feis/ mặt, thể diện; đương đầu, đối phó, đối mặt
facility	điều kiện dễ dàng, sự dễ dàng, thuận lợi
fact	việc, sự việc, sự kiện
factor	/  nhân tố
factory	nhà máy, xí nghiệp, xưởng
fail	 sai, thất bại
failure	sự thất bại, người thất bại
faint	nhút nhát, yếu ớt
faintly	nhút nhát, yếu ớt
fair	hợp lý, công bằng; thuận lợi
fairly	hợp lý, công bằng
faith	sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
faithful	trung thành, chung thủy, trung thực
faithfully	trung thành, chung thủy, trung thực
fall	ngủ thiếp đi
fall	/fɔl/ rơi, ngã, sự rơi, ngã
fall	lộn nhào, bị đổ
false	sai, nhầm, giả dối
fame	 tên tuổi, danh tiếng
familiar	 thân thiết, quen thộc
family	/ˈfæmili/ gia đình, thuộc gia đình
famous	 nổi tiếng
fan	người hâm mộ
fancy	/ˈfænsi/ tưởng tượng, cho, nghĩ rằng; tưởng tượng
far	/fɑ:/  xa
farm	trang trại
farmer	 nông dân, người chủ trại
farming	công việc trồng trọt, đồng áng
fashion	 mốt, thời trang
fashionable	đúng mốt, hợp thời trang
fast	/fa:st/ nhanh
fasten	buộc, trói
fat	/fæt/ béo, béo bở;  mỡ, chất béo
father	 cha (bố)
faucet	/ˈfɔsɪt/  vòi (ở thùng rượu....)
fault	 sự thiết sót, sai sót
favour	favor) n. /'feivз/  thiện ý, sự quý mến; sự đồng ý; sự chiếu cố
favourite	adj., n. /'feivзrit/ được ưa thích; người (vật) được ưa thích
fear	/fɪər/  sự sợ hãi, e sợ; sợ, lo ngại
feather	lông chim
feature	/'fi:tʃə/  nét đặt biệt, điểm đặc trưng; mô tả nét đặc biệt, đặc trưng của...
february	Feb.) /´februəri/ tháng 2
federal	 liên bang
fee	tiền thù lao, học phí
feed	cho ăn, nuôi
feel	 cảm thấy
feel	BrE) buồn nôn
feeling	sự cảm thấy, cảm giác
fellow	anh chàng (đang yêu), đồng chí
female	/´fi:meil/ thuộc giống cái; giống cái
fence	 hàng rào
festival	 lễ hội, đại hội liên hoan
fetch	tìm về, đem về; làm bực mình; làm say mê, quyến rũ
fever	 cơn sốt, bệnh sốt
few	pron. /fju:/ ít,vài; một ít, một vài
field	 cánh đồng, bãi chiến trường
fight	/fait/ đấu tranh, chiến đấu; sự đấu tranh, cuộc chiến đấu
fighting	sự chiến đấu, sự đấu tranh
figure	/figә(r)/  hình dáng, nhân vật; hình dung, miêu tả
file	hồ sơ, tài liệu
fill	làm đấy, lấp kín
film	/film/  phim, được dựng thành phim
final	/'fainl/ cuối cùng, cuộc đấu chung kết
finally	cuối cùng, sau cùng
finance	/fɪˈnæns , ˈfaɪnæns/  tài chính; tài trợ, cấp vốn
financial	thuộc (tài chính)
find	tìm, tìm thấy
find	khám phá, tìm ra
fine	tốt, giỏi
finely	đẹp đẽ, tế nhị, cao thượng
finger	ngón tay
finish	kết thúc, hoàn thành; sự kết thúc, phần cuối
finished	hoàn tất, hoàn thành
fire	/'faiə/ lửa; đốt cháy
firm	adv. /'fə:m/ hãng, công ty; chắc, kiên quyết, vũng vàng, mạnh mẽ
firmly	vững chắc, kiên quyết
first	number, adv., n. /fə:st/ thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất
fish	/fɪʃ/ cá, món cá; câu cá, bắt cá
fishing	sự câu cá, sự đánh cá
fit	/fit/ hợp, vừa; thích hợp, xứng đáng
fix	đóng, gắn, lắp; sửa chữa, sửa sang
fixed	yên, bất động
flag	quốc kỳ
flame	 ngọn lửa
flash	/flæ∫/ loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
flat	/flæt/ bằng phẳng, bẹt, nhẵn; dãy phòng, căn phòng, mặt phẳng
flavour	flavor) n., v. /'fleivə/ vị, mùi; cho gia vị, làm tăng thêm mùi vị
flesh	 thịt
flight	 sự bỏ chạy, rút chạy; sự bay, chuyến bay
float	nổi, trôi, lơ lửng
flood	/flʌd/ lụt, lũ lụtl; tràn đầy, tràn ngập
floor	 sàn, tầng (nhà)
flour	bột, bột mỳ
flow	/flow/ sự chảy; chảy
flower	 hoa, bông, đóa, cây hoa
flu	bệnh cúm
fly	/flaɪ/ bay; sự bay, quãng đường bay
flying	/´flaiiη/ biết bay; sự bay, chuyến bay
focus	/'foukəs/ tập trung; trung tâm, trọng tâm (n.bóng)
fold	/foʊld/ gấp, vén, xắn; nếp gấp
folding	gấp lại được
follow	đi theo sau, theo, tiếp theo
following	prep. /´fɔlouiη/ tiếp theo, theo sau, sau đây; sau, tiếp theo
food	 đồ ăn, thức, món ăn
foot	 chân, bàn chân
football	 bóng đá
for	 cho, dành cho...
for	dụ chẳng hạn
force	/fɔ:s/ sức mạnh; ép buộc, cưỡng ép
forecast	/fɔ:'kɑ:st/ sự dự đoán, dự báo;  dự đoán, dự báo
foreign	(thuộc) nước ngoài, từ nước ngoài, ở nước ngoài
forest	rừng
forever	for ever) adv. /fə'revə/  mãi mãi
forget	quên
forgive	tha, tha thứ
fork	cái nĩa
form	/fɔ:m/ hình thể, hình dạng, hình thức; làm thành, được tạo thành
formal	hình thức
formally	chính thức
former	trước, cũ, xưa, nguyên
formerly	trước đây, thuở xưa
formula	công thức, thể thức, cách thức
fortune	 sự giàu có, sự thịnh vượng
forward	adv. /ˈfɔrwərd/ về tương lai, sau này ở phía trước, tiến về phía trước
forward	/ˈfɔrwərd/ ở phía trước, tiến về phía trước
found	(q.k of find) tìm, tìm thấy
foundation	sự thành lập, sự sáng lập; tổ chức
frame	/freim/ cấu trúc, hệ thống; dàn xếp, bố trí
free	adv. /fri:/ miễn phí, tự do, giải phóng, trả tự do
freedom	sự tự do; nền tự do
freely	tự do, thoải mái
freeze	đóng băng, đông lạnh
freeze	 /fri:z/ sự đông lạnh, sự giá lạnh; làm đông, làm đóng băng
frequent	thường xuyên
frequently	thường xuyên
fresh	 tươi, tươi tắn
freshly	tươi mát, khỏe khoắn
friday	Fri.) /´fraidi/ thứ Sáu
fridge	/fridЗ/ tủ lạnh
friend	người bạn
friendly	thân thiện, thân mật
friendship	tình bạn, tình hữu nghị
frighten	làm sợ, làm hoảng sợ
frightened	hoảng sợ, khiếp sợ
frightening	kinh khủng, khủng khiếp
from	frəm/ từ
front	/frʌnt/ mặt; đằng trước, về phía trước
frozen	lạnh giá
fruit	 quả, trái cây
fry	/frai/ rán, chiên; thịt rán
